Tense,Form
Present indefinite tense,csinálok
Present indefinite tense,csinálsz
Present indefinite tense,csinál
Present indefinite tense,csinálunk
Present indefinite tense,csináltok
Present indefinite tense,csinálnak
Present indefinite tense,csinálom
Present indefinite tense,csinálod
Present indefinite tense,csinálja
Present indefinite tense,csináljuk
Present indefinite tense,csináljátok
Present indefinite tense,csinálják
Present indefinite tense,csináltam
Present indefinite tense,csináltál
Present indefinite tense,csinált
Present indefinite tense,csináltunk
Present indefinite tense,csináltatok
Present indefinite tense,csináltak
Present indefinite tense,csináltam
Present indefinite tense,csináltad
Present indefinite tense,csinálta
Present indefinite tense,csináltuk
Present indefinite tense,csináltátok
Present indefinite tense,csinálták
Present definite tense,csinálok
Present definite tense,csinálsz
Present definite tense,csinál
Present definite tense,csinálunk
Present definite tense,csináltok
Present definite tense,csinálnak
Present definite tense,csinálom
Present definite tense,csinálod
Present definite tense,csinálja
Present definite tense,csináljuk
Present definite tense,csináljátok
Present definite tense,csinálják
Present definite tense,csináltam
Present definite tense,csináltál
Present definite tense,csinált
Present definite tense,csináltunk
Present definite tense,csináltatok
Present definite tense,csináltak
Present definite tense,csináltam
Present definite tense,csináltad
Present definite tense,csinálta
Present definite tense,csináltuk
Present definite tense,csináltátok
Present definite tense,csinálták
Past indefinite tense,csinálok
Past indefinite tense,csinálsz
Past indefinite tense,csinál
Past indefinite tense,csinálunk
Past indefinite tense,csináltok
Past indefinite tense,csinálnak
Past indefinite tense,csinálom
Past indefinite tense,csinálod
Past indefinite tense,csinálja
Past indefinite tense,csináljuk
Past indefinite tense,csináljátok
Past indefinite tense,csinálják
Past indefinite tense,csináltam
Past indefinite tense,csináltál
Past indefinite tense,csinált
Past indefinite tense,csináltunk
Past indefinite tense,csináltatok
Past indefinite tense,csináltak
Past indefinite tense,csináltam
Past indefinite tense,csináltad
Past indefinite tense,csinálta
Past indefinite tense,csináltuk
Past indefinite tense,csináltátok
Past indefinite tense,csinálták
Past definite tense,csinálok
Past definite tense,csinálsz
Past definite tense,csinál
Past definite tense,csinálunk
Past definite tense,csináltok
Past definite tense,csinálnak
Past definite tense,csinálom
Past definite tense,csinálod
Past definite tense,csinálja
Past definite tense,csináljuk
Past definite tense,csináljátok
Past definite tense,csinálják
Past definite tense,csináltam
Past definite tense,csináltál
Past definite tense,csinált
Past definite tense,csináltunk
Past definite tense,csináltatok
Past definite tense,csináltak
Past definite tense,csináltam
Past definite tense,csináltad
Past definite tense,csinálta
Past definite tense,csináltuk
Past definite tense,csináltátok
Past definite tense,csinálták
Conditional present indefinite tense,csinálnék
Conditional present indefinite tense,csinálnál
Conditional present indefinite tense,csinálna
Conditional present indefinite tense,csinálnánk
Conditional present indefinite tense,csinálnátok
Conditional present indefinite tense,csinálnának
Conditional present indefinite tense,csinálnám
Conditional present indefinite tense,csinálnád
Conditional present indefinite tense,csinálná
Conditional present indefinite tense,csinálnánk
Conditional present indefinite tense,csinálnátok
Conditional present indefinite tense,csinálnák
Conditional present indefinite tense,csináltam volna
Conditional present indefinite tense,csináltál volna
Conditional present indefinite tense,csinált volna
Conditional present indefinite tense,csináltunk volna
Conditional present indefinite tense,csináltatok volna
Conditional present indefinite tense,csináltak volna
Conditional present indefinite tense,csináltam volna
Conditional present indefinite tense,csináltad volna
Conditional present indefinite tense,csinálta volna
Conditional present indefinite tense,csináltuk volna
Conditional present indefinite tense,csináltátok volna
Conditional present indefinite tense,csinálták volna
Conditional present definite tense,csinálnék
Conditional present definite tense,csinálnál
Conditional present definite tense,csinálna
Conditional present definite tense,csinálnánk
Conditional present definite tense,csinálnátok
Conditional present definite tense,csinálnának
Conditional present definite tense,csinálnám
Conditional present definite tense,csinálnád
Conditional present definite tense,csinálná
Conditional present definite tense,csinálnánk
Conditional present definite tense,csinálnátok
Conditional present definite tense,csinálnák
Conditional present definite tense,csináltam volna
Conditional present definite tense,csináltál volna
Conditional present definite tense,csinált volna
Conditional present definite tense,csináltunk volna
Conditional present definite tense,csináltatok volna
Conditional present definite tense,csináltak volna
Conditional present definite tense,csináltam volna
Conditional present definite tense,csináltad volna
Conditional present definite tense,csinálta volna
Conditional present definite tense,csináltuk volna
Conditional present definite tense,csináltátok volna
Conditional present definite tense,csinálták volna
Conditional past indefinite tense,csinálnék
Conditional past indefinite tense,csinálnál
Conditional past indefinite tense,csinálna
Conditional past indefinite tense,csinálnánk
Conditional past indefinite tense,csinálnátok
Conditional past indefinite tense,csinálnának
Conditional past indefinite tense,csinálnám
Conditional past indefinite tense,csinálnád
Conditional past indefinite tense,csinálná
Conditional past indefinite tense,csinálnánk
Conditional past indefinite tense,csinálnátok
Conditional past indefinite tense,csinálnák
Conditional past indefinite tense,csináltam volna
Conditional past indefinite tense,csináltál volna
Conditional past indefinite tense,csinált volna
Conditional past indefinite tense,csináltunk volna
Conditional past indefinite tense,csináltatok volna
Conditional past indefinite tense,csináltak volna
Conditional past indefinite tense,csináltam volna
Conditional past indefinite tense,csináltad volna
Conditional past indefinite tense,csinálta volna
Conditional past indefinite tense,csináltuk volna
Conditional past indefinite tense,csináltátok volna
Conditional past indefinite tense,csinálták volna
Conditional past definite tense,csinálnék
Conditional past definite tense,csinálnál
Conditional past definite tense,csinálna
Conditional past definite tense,csinálnánk
Conditional past definite tense,csinálnátok
Conditional past definite tense,csinálnának
Conditional past definite tense,csinálnám
Conditional past definite tense,csinálnád
Conditional past definite tense,csinálná
Conditional past definite tense,csinálnánk
Conditional past definite tense,csinálnátok
Conditional past definite tense,csinálnák
Conditional past definite tense,csináltam volna
Conditional past definite tense,csináltál volna
Conditional past definite tense,csinált volna
Conditional past definite tense,csináltunk volna
Conditional past definite tense,csináltatok volna
Conditional past definite tense,csináltak volna
Conditional past definite tense,csináltam volna
Conditional past definite tense,csináltad volna
Conditional past definite tense,csinálta volna
Conditional past definite tense,csináltuk volna
Conditional past definite tense,csináltátok volna
Conditional past definite tense,csinálták volna
Future indefinite tense,fogok csinálni
Future indefinite tense,fogsz csinálni
Future indefinite tense,fog csinálni
Future indefinite tense,fogunk csinálni
Future indefinite tense,fogtok csinálni
Future indefinite tense,fognak csinálni
Future indefinite tense,fogom csinálni
Future indefinite tense,fogod csinálni
Future indefinite tense,fogja csinálni
Future indefinite tense,fogjuk csinálni
Future indefinite tense,fogjátok csinálni
Future indefinite tense,fogják csinálni
Future indefinite tense,csináljam
Future indefinite tense,csináld
Future indefinite tense,csinálja
Future indefinite tense,csináljuk
Future indefinite tense,csináljátok
Future indefinite tense,csinálják
Future indefinite tense,csináljak
Future indefinite tense,csinálj
Future indefinite tense,csináljon
Future indefinite tense,csináljunk
Future indefinite tense,csináljatok
Future indefinite tense,csináljanak
Future definite tense,fogok csinálni
Future definite tense,fogsz csinálni
Future definite tense,fog csinálni
Future definite tense,fogunk csinálni
Future definite tense,fogtok csinálni
Future definite tense,fognak csinálni
Future definite tense,fogom csinálni
Future definite tense,fogod csinálni
Future definite tense,fogja csinálni
Future definite tense,fogjuk csinálni
Future definite tense,fogjátok csinálni
Future definite tense,fogják csinálni
Future definite tense,csináljam
Future definite tense,csináld
Future definite tense,csinálja
Future definite tense,csináljuk
Future definite tense,csináljátok
Future definite tense,csinálják
Future definite tense,csináljak
Future definite tense,csinálj
Future definite tense,csináljon
Future definite tense,csináljunk
Future definite tense,csináljatok
Future definite tense,csináljanak
Subjunctive present definite tense,fogok csinálni
Subjunctive present definite tense,fogsz csinálni
Subjunctive present definite tense,fog csinálni
Subjunctive present definite tense,fogunk csinálni
Subjunctive present definite tense,fogtok csinálni
Subjunctive present definite tense,fognak csinálni
Subjunctive present definite tense,fogom csinálni
Subjunctive present definite tense,fogod csinálni
Subjunctive present definite tense,fogja csinálni
Subjunctive present definite tense,fogjuk csinálni
Subjunctive present definite tense,fogjátok csinálni
Subjunctive present definite tense,fogják csinálni
Subjunctive present definite tense,csináljam
Subjunctive present definite tense,csináld
Subjunctive present definite tense,csinálja
Subjunctive present definite tense,csináljuk
Subjunctive present definite tense,csináljátok
Subjunctive present definite tense,csinálják
Subjunctive present definite tense,csináljak
Subjunctive present definite tense,csinálj
Subjunctive present definite tense,csináljon
Subjunctive present definite tense,csináljunk
Subjunctive present definite tense,csináljatok
Subjunctive present definite tense,csináljanak
Subjunctive present indefinite tense,fogok csinálni
Subjunctive present indefinite tense,fogsz csinálni
Subjunctive present indefinite tense,fog csinálni
Subjunctive present indefinite tense,fogunk csinálni
Subjunctive present indefinite tense,fogtok csinálni
Subjunctive present indefinite tense,fognak csinálni
Subjunctive present indefinite tense,fogom csinálni
Subjunctive present indefinite tense,fogod csinálni
Subjunctive present indefinite tense,fogja csinálni
Subjunctive present indefinite tense,fogjuk csinálni
Subjunctive present indefinite tense,fogjátok csinálni
Subjunctive present indefinite tense,fogják csinálni
Subjunctive present indefinite tense,csináljam
Subjunctive present indefinite tense,csináld
Subjunctive present indefinite tense,csinálja
Subjunctive present indefinite tense,csináljuk
Subjunctive present indefinite tense,csináljátok
Subjunctive present indefinite tense,csinálják
Subjunctive present indefinite tense,csináljak
Subjunctive present indefinite tense,csinálj
Subjunctive present indefinite tense,csináljon
Subjunctive present indefinite tense,csináljunk
Subjunctive present indefinite tense,csináljatok
Subjunctive present indefinite tense,csináljanak
Conjugated infinitives,csinálnom
Conjugated infinitives,csinálnod
Conjugated infinitives,csinálnia
Conjugated infinitives,csinálnunk
Conjugated infinitives,csinálnotok
Conjugated infinitives,csinálniuk
